"Operator","Schlagwort","Kompetenz","Ähnliche Kompetenz","Unterkompetenz","Referenzrahmen","Evidenzen","Kompetenzbereiche (KMK)","Metaoperator","Unterkompetenz"
"kennen",,"<p>Die Lehramtsanwärter  <span style=""line-height:1.231;"">kennen die rechtlichen Rahmenbedingungen ihrer Tätigkeit (z. B. Grundgesetz, </span><span style=""line-height:1.231;"">Schulgesetze)</span></p>","weiß ich nicht","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Beruf und Rolle des Lehrers##Schulentwicklung##Bildungsforschung","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"reflektieren","Wertvorstellungen","<p>Die Lehramtsanwärter reflektieren ihre persönlichen berufsbezogenen Wertvorstellungen und Einstellungen</p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Beruf und Rolle des Lehrers","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kennen",,"<p>Die Lehramtsanwärter kennen wesentliche Ergebnisse der Belastungs- und Stressforschung</p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Beruf und Rolle des Lehrers##Schulentwicklung##Bildungsforschung","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"einsetzen",,"<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">setzen Arbeitszeit und Arbeitsmittel </span><span style=""line-height:1.231;"">zweckdienlich und ökonomisch ein</span></p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Beruf und Rolle des Lehrers","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"praktizieren","Kooperation","<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">praktizieren kollegiale Beratung als Hilfe </span><span style=""line-height:1.231;"">zur Unterrichtsentwicklung und Arbeitsentlastung</span></p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Beruf und Rolle des Lehrers##Kommunikation","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"verstehen","Lebenslanges Lernen","<p>Die Lehramtsanwärter Lehrerinnen und Lehrer verstehen ihren Beruf als ständige Lernaufgabe</p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Beruf und Rolle des Lehrers##Schulentwicklung","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kennen",,"<p>Die Lehramtsanwärter kennen Methoden der Selbst- und Fremdevaluation</p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Beruf und Rolle des Lehrers##Schulentwicklung","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"rezipieren",,"<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">rezipieren und bewerten Ergebnisse der </span><span style=""line-height:1.231;"">Bildungsforschung</span></p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Bildungsforschung","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kennen",,"<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">kennen organisatorische Bedingungen und </span><span style=""line-height:1.231;"">Kooperationsstrukturen an Schulen</span></p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Schulentwicklung##Bildungsforschung","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"nutzen","Lebenslanges Lernen","<p>Die Lehramtsanwärter nutzen formelle und informelle, individuelle und kooperative Weiterbildungsangebote</p>","weiß ich nicht","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Beruf und Rolle des Lehrers##Schulentwicklung","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"dokumentieren",,"<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">dokumentieren für sich und andere die </span><span style=""line-height:1.231;"">eigene Arbeit und ihre Ergebnisse</span></p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Beruf und Rolle des Lehrers##Schulentwicklung","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"beteiligen",,"<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">beteiligen sich an der Planung und Umsetzung schulischer Projekte </span><span style=""line-height:1.231;"">und Vorhaben</span></p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Beruf und Rolle des Lehrers##Schulentwicklung","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"reflektieren",,"<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">reflektieren den spezifischen </span><span style=""line-height:1.231;"">Bildungsauftrag einzelner Schularten, </span><span style=""line-height:1.231;"">Schulformen und Bildungsgänge</span></p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Beruf und Rolle des Lehrers##Schulentwicklung##Bildungsforschung","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kennen",,"<p>Die Lehramtsanwärter kennen Ziele und Methoden der Schulentwicklung</p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Schulentwicklung","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kennen","Kooperation","<p>Die Lehramsanwärter  <span style=""line-height:1.231;"">kennen die Bedingungen für erfolgreiche </span><span style=""line-height:1.231;"">Kooperation</span></p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Beruf und Rolle des Lehrers##Kommunikation##Schulentwicklung","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"nutzen",,"<p>Die Lehramtsanwärter <span style=""line-height:1.231;"">nutzen Verfahren und Instrumente der </span><span style=""line-height:1.231;"">internen Evaluation von Unterricht und </span><span style=""line-height:1.231;"">Schule</span></p>","weiß ich nicht","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Beruf und Rolle des Lehrers##Schulentwicklung","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"unterstützen","Kooperation","<p>Die Lehramtsanwärter unterstützen eine Gruppe darin, gute Arbeitsergebnisse zu erreichen</p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren","KMK Standards für die Lehrerbildung: Bildungswissenschaften",,"Beruf und Rolle des Lehrers##Kommunikation##Schulentwicklung","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"reflektieren",,"Die Lehramtsanwärter reflektieren ihr eigenes Verhalten vor der Klasse.","weiß ich nicht","Wie ein(e) professionelle(r) Lehrer(in) agieren",,,"Beruf und Rolle des Lehrers##Lernen, Entwicklung und Sozialisation","Beurteilen","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"strukturieren",,"Die Lehramtsanwärter strukturieren Unterrichtsinhalte.","weiß ich nicht","Wie ein(e) professionelle(r) Lehrer(in) agieren",,,"Bildung und Erziehung##Didaktik und Methodik","Unterrichten","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"benennen",,"Die Lehramtsanwärter benennen Schwerpunkte der Rahmenlehrpläne der einzelnen Fächer.","weiß ich nicht","Wie ein(e) professionelle(r) Lehrer(in) agieren",,,"Didaktik und Methodik##Differenzierung, Integration und Förderung","Unterrichten","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"kommunizieren",,"Die Lehramtsanwärter kommunizieren in angemessener Form mit anderen Kollegen.","weiß ich nicht","Wie ein(e) professionelle(r) Lehrer(in) agieren",,,"Beruf und Rolle des Lehrers##Kommunikation","Verwendeter Operator ist Metaoperator","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"planen",,"Die Lehramtsanwärter planen die Bedingungen und den Rahmen für den Lernprozess der SuS.","weiß ich nicht","Wie ein(e) professionelle(r) Lehrer(in) agieren",,,"Bildung und Erziehung##Didaktik und Methodik","Unterrichten","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"bewerten",,"<p>Die Lehramtsanwärter bewerten fremde Unterrichtsentwürfe bzgl. fachlicher und didaktisch-methodischer Gesichtspunkte.</p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren",,"<p>Die Lehramtsanwärter geben qualifiziertes Feedback.</p>","Didaktik und Methodik##Diagnostik, Beurteilung und Beratung","Beurteilen","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"bewerten",,"<p>Die Lehramtskandidaten bewerten fremden Unterricht anhand ausgewählter Kriterien.</p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren",,"<p>Die Lehramtsanwärter geben qualifiziertes Feedback.</p>","Diagnostik, Beurteilung und Beratung","Beurteilen","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"reflektieren, konzipieren",,"<p>Die Lehramtsanwärter reflektieren ihre Fähigkeiten im Handlungsfeld Schule theoretisch und konzipieren daraus geeignete Handlungsmodelle.</p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren",,"<p>Die Lehramtsanwärter begründen Entscheidungen für Handlungsmodelle an ihren eigenen Fähigkeiten.</p>","Didaktik und Methodik","Innovieren","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"wenden",,"<p>Die Lehramtsanwärter wenden Forschungsmethoden an, um schul- und unterrichtsbezogene Vorhaben zu bearbeiten.</p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren",,,"Bildungsforschung","Anderer","Wie ein(e) professionelle(r) Lehrer(in) agieren"
"planen",,"<p>Die Lehramtsanwärter planen Unterricht und Unterrichtsphasen nach wissenschaftlichen Erkenntnissen.</p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren",,"<p>Die Lehramtswärter begründen ihre Entscheidungen an eigenen Forschungsergebnissen oder ausgewählter Literatur.</p>","Didaktik und Methodik##Bildungsforschung","Anderer","Wie ein(e) professionelle(r) Lehrer(in) agieren"
